SampleID,ImageName,Hours,Day,Date,Time,PlantType,WoundType,Observation
S001,H000.jpg,0,0,2026-06-13,12:00,Aloe Vera,Scratch,Fresh Wound
S001,H003.jpg,3,0,2026-06-13,15:00,Aloe Vera,Scratch,No Visible Changes
S001,H006.jpg,6,0,2026-06-13,18:00,Aloe Vera,Scratch,Slight drying at wound edges
S001,H009.jpg,9,0,2026-06-13,21:00,Aloe Vera,Scratch,Discoloration around the edges
S001,H012.jpg,12,0,2026-06-14,00:00,Aloe Vera,Scratch,Discolored and slight white tissues are visible
S001,H015.jpg,18,0,2026-06-14,06:00,Aloe Vera,Scratch,Formation of the tissues 
S001,H018.jpg,21,0,2026-06-14,09:00,Aloe Vera,Scratch,Just the tissues and no other Changes.
S001,H021.jpg,24,0,2026-06-14,12:00,Aloe Vera,Scratch,Black Pigmentation around the scar
S002,H000.jpg,0,0,2026-06-14,09:00,Aloe Vera,Scratch,Fresh Wound
S002,H003.jpg,3,0,2026-06-14,12:00,Aloe Vera,Scratch,Dryed Wound
